Preguntas,Hombres,Mujeres
Pregunta1_1,  8.9,  8.9
Pregunta1_2,  8.1,  8.3
Pregunta1_3,  8.0,  7.8
Pregunta1_4,  6.6,  7.4
Pregunta1_5,  8.9,  8.9
Pregunta1_6,  8.6,  8.6
Pregunta1_7,  8.1,  8.0
Pregunta2_1,  7.4,  7.7
Pregunta2_2,  8.9,  8.9
Pregunta2_3,  8.3,  8.4
Pregunta2_4,  7.9,  7.8
Pregunta2_5,  6.5,  7.6
Pregunta2_6,  8.9,  8.9
Pregunta2_7,  8.5,  8.3
Pregunta3_1,  8.4,  7.9
Pregunta3_2,  8.0,  8.1
Pregunta3_3,  8.9,  8.8
Pregunta3_4,  8.6,  8.6
Pregunta3_5,  8.4,  8.3
Pregunta3_6,  8.3,  8.0
Pregunta3_7,  8.1,  7.9
Pregunta4_1,  7.9,  7.8
Pregunta4_2,  8.0,  8.1
Pregunta4_3,  8.9,  9.0
Pregunta4_4,  9.0,  9.0
Pregunta4_5,  8.3,  8.4
Pregunta4_6,  7.6,  7.7
Pregunta4_7,  7.2,  7.5
